#system    database     RA              DEC         VSYS     D      INC     PA      noise
NGC0672    none     01h47m54.52s    +27d25m58.0s    429.0    7.6     70     65      252e-6
NGC0925    DB08     02h27m16.880s   +33d34m45.00s   553.1    9.1     54     286.6   158e-6
NGC0949    none     02h30m48.65s    +37d08m12.4s    608.9    11.3    52     162     184e-6
NGC1003    SPARC    02h39m16.89s    +40d52m20.3s    626.0    11.4    67     277     250e-6
NGC2403    SPARC    07h36m51.40s    +65d36m09.2s    133.7    3.16    63     124.6   190e-6
NGC2541    none     08h14m40.115s   +49d03m42.15s   548.0    12.0    67     172     234e-6
NGC3198    SPARC    10h19m55.0s     +45d32m58.9s    657.1    13.8    73     215.0   140e-6 
NGC4062    none     12h04m03.830s   +31d53m44.90s   757.9    16.9    68     100     180e-6
NGC4258    none     12h18m57.5046s  +47d18m14.303s  447.9    7.6     71     330     250e-6
NGC4274    none     12h19m50.592s   +29d36m52.12s   930.0    19.4    72     280     200e-6
NGC4414    none     12h26m27.10s    +31d13m24.7s    715.9    17.8    50     160     215e-6
NGC4448    none     12h28m15.43s    +28d37m13.1s    661.0    9.7     71     0       0
NGC4559    SPARC    12h35m57.647s   +27d57m35.97s   807.0    9.0     67     330     200e-6
NGC5055    SPARC    13h15m49.33s    +42d01m45.4s    483.9    9.90    55     102     215e-6
NGC5585    SPARC    14h19m48.20s    +56d43m44.6s    292.0    7.06    51     30      160e-6
